question,document
Can I still join the course if I only found it recently?,74eb249bbf
"Is it too late to start the course now, or can I still participate?",74eb249bbf
"If I join late, will I still be able to get a certificate?",74eb249bbf
What do I need to do to qualify for the certificate if I'm joining now?,74eb249bbf
Are project submissions still open for new students who just discovered the course?,74eb249bbf
"I signed up for LLM Zoomcamp, but I still haven’t gotten any confirmation email — is something wrong?",977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c
"If I didn’t register for LLM Zoomcamp, can I still follow along and turn in assignments?",977bf7786c
"Is there some accepted list for this course, or can anyone just begin learning while homework is open?",977bf7786c
What’s the point of the registration form if it doesn’t affect access to the course?,977bf7786c
Where do students join the Office Hours or live workshop sessions if the Zoom link isn't shared publicly?,489dd1c9d9
"Can I get the Zoom link for live sessions, or is there another way to watch and ask questions?",489dd1c9d9
"How do I find the stream for an Office Hours session, and where should I send my questions during the live?",489dd1c9d9
"Is the workshop video posted somewhere before it starts, and what's the best place to follow updates?",489dd1c9d9
"If the session is live, should I write questions in chat or use Slido instead?",489dd1c9d9
Where should I begin if I just joined LLM Zoomcamp and want to follow the course properly?,04919992b3
"What’s the usual weekly routine for this course — videos first, then notebooks, then homework?",04919992b3
"Do I need to start on a specific date, or can I begin the course materials whenever I want?",04919992b3
Where do I check the homework deadline and submit my answers for each week?,04919992b3
"How closely does the homework match the lesson content, and is it based on the same data?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name right away?,c2903069a0
What name am I assigned when I create an account for the course?,c2903069a0
Where can I check the display name my account is showing?,c2903069a0
Can I change the nickname that appears on the leaderboard or in class?,c2903069a0
What do I need to edit so my certificate shows my real name instead of the random one?,c2903069a0
Can I take the course on my own schedule and still earn a certificate?,69d122f12e
Is there any way to get a certificate if I’m not in the live cohort?,69d122f12e
Why doesn’t the self-paced version come with a certificate?,69d122f12e
Do I need to review other students’ capstone projects to qualify for the certificate?,69d122f12e
"If I finish the lessons later, after the course ends, can I still get certified?",69d122f12e
"If I skipped the first homework, can I still qualify for the course certificate?",9f689c185f
"Do I have to do every homework assignment to get certified, or is there another requirement?",9f689c185f
What do I need to complete in llm-zoomcamp to receive the certificate if homework isn’t required?,9f689c185f
"Are homework points mandatory for the certificate, or are they just for the leaderboard?",9f689c185f
"Can I still earn the certificate even if I missed some homework, as long as I finish the final project?",9f689c185f
Why does the homework content keep changing before it’s released?,96286b4be4
How can I tell if a homework assignment is actually ready to do?,96286b4be4
"If a homework title has [DRAFT], does that mean it’s still not final?",96286b4be4
Can the homework change even after I start working on it early?,96286b4be4
What should I check before submitting or starting the homework?,96286b4be4
When is the next time this course will be run?,bd31146b0e
Do you know what the upcoming offering date is for this course?,bd31146b0e
When should I expect the next session of the course to start?,bd31146b0e
Is the next course run planned for Summer 2027?,bd31146b0e
What’s the next scheduled offering for this course?,bd31146b0e
Where do I find the lecture videos for this course?,31456f4b5f
Is there a main place to start if I want the lesson recordings?,31456f4b5f
"Do the lesson pages have the videos linked somewhere, or do I need to search YouTube?",31456f4b5f
What’s the best source to check first for updated lectures in LLM Zoomcamp?,31456f4b5f
Where should I look when I’m trying to find the videos for each lesson?,31456f4b5f
Where do I keep an eye on the LLM Zoomcamp syllabus and deadlines?,20c5a1347e
Is there a course platform for checking homework and my progress in LLM Zoomcamp?,20c5a1347e
How can I follow the current cohort structure for the LLM Zoomcamp?,20c5a1347e
What site should I use to track assignments and due dates in this Zoomcamp?,20c5a1347e
Do I need a separate management platform to monitor my LLM Zoomcamp progress?,20c5a1347e
"Are there office hours or live sessions for every module in LLM Zoomcamp, or is everything just prerecorded?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help since there isn’t a live session for each module?",d65e05bd7a
How do I find out when a live session is happening for the course?,d65e05bd7a
"Does the free LLM Zoomcamp include regular Zoom office hours, or is that only part of some paid option?",d65e05bd7a
"What is AI Shipping Labs, and is it required if I want extra support during the course?",d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits for the course?,dbf5369006
Is Bluesky accepted as a platform for earning learning in public credits?,dbf5369006
"If I post about the course on Bluesky, will that qualify for learning in public credits?",dbf5369006
Are Bluesky updates valid when submitting learning in public credits?,dbf5369006
Do Bluesky posts work for the course’s learning in public credit requirement?,dbf5369006
What’s the Telegram link for LLM Zoomcamp announcements?,054f3fd58f
Where can I join the LLM Zoomcamp Telegram group?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Where should I go for LLM Zoomcamp announcements versus technical questions?,054f3fd58f
Can you share the Telegram channel link for the course?,054f3fd58f
Why doesn’t this course start with LangChain for RAG apps?,b7cdde6b25
What’s the reason we build the retrieval and indexing parts ourselves instead of using a framework?,b7cdde6b25
Is there a benefit to learning the low-level LLM app pieces before using LangChain?,b7cdde6b25
"Why do we focus on prompting, retrieval, indexing, and evaluation first in the RAG module?",b7cdde6b25
Wouldn’t it be faster to use LangChain right away for the course projects?,b7cdde6b25
Why do I get an OpenAI API error when I run responses.create?,f5df151c59
What does the insufficient credits error mean in OpenAI responses.create?,f5df151c59
Could low account credits be causing my responses.create command to fail?,f5df151c59
How can I fix the OpenAI error about insufficient credits?,f5df151c59
Is there a reason responses.create stops working with an Insufficient credits message?,f5df151c59
Why am I getting OpenAI RateLimitError 429 saying I exceeded my quota?,152af39a53
How do I fix the 429 insufficient_quota error in OpenAI API?,152af39a53
Do I need to add money to my OpenAI account to use the API?,152af39a53
Which model should I use in responses.create if gpt-4o is not available to me?,152af39a53
"After adding credits, do I need to create a new API key or can I keep using the old one?",152af39a53
How much should I expect to spend if I use the OpenAI API for this course?,554d0eb78b
"Do I need to pay a lot upfront to start using the OpenAI API, or can I begin with a small recharge?",554d0eb78b
Is it true that using the OpenAI API in the course is basically very cheap?,554d0eb78b
What’s the minimum amount I can add to my OpenAI account before I start?,554d0eb78b
"Will the API usage for this course cost more than a few cents, or is it usually almost nothing?",554d0eb78b
Do I need to buy an OpenAI API subscription to finish the homework in this course?,85384a18e5
Is paying for OpenAI API required for the llm-zoomcamp assignments?,85384a18e5
Can I complete the course tasks without using a paid OpenAI API account?,85384a18e5
Are there any free or cheaper options instead of OpenAI API for the course?,85384a18e5
Where can I find the list of OpenAI API alternatives for this module?,85384a18e5
"Why does my Jupyter notebook say OPENAI_API_KEY is missing, even though I added it to .env?",86d99bbf21
Do I need python-dotenv for OpenAI keys to work in the notebook?,86d99bbf21
What should I run in Jupyter before creating the OpenAI client so it can see my API key?,86d99bbf21
My notebook still can’t find the API key after restarting—am I supposed to load .env manually?,86d99bbf21
What’s the exact environment variable name OpenAI expects in the .env file?,86d99bbf21
How do I keep API keys out of Git and load them from a .env file in Python?,233dabe430
"What’s the recommended way in the course to store OpenAI, Groq, and Gemini keys safely?",233dabe430
Do I need python-dotenv to read environment variables from a .env file?,233dabe430
How can I make sure my .env file is ignored by git before I push my project?,233dabe430
What’s the easiest way to use API keys from .env with os.getenv() in a RAG project?,233dabe430
"Can I switch to a different LLM provider for the homework, like Gemini, Groq, or Azure OpenAI?",ee43413718
"Is the recommended model in the RAG assignment required, or can I use my own model instead?",ee43413718
"Do I have to pay for the exact service mentioned in the homework, or are free/local options okay?",ee43413718
"If I use another API or local model, will I need to change the code for things like tokenization or response format?",ee43413718
Where can I find a list of OpenAI API alternatives that are acceptable for this course?,ee43413718
How do I use Gemini in the Module 1 notebook if I only have an API key and want to go through the OpenAI-style endpoint?,0ae5c221b9
What do I need to change in the course notebook to make Google Gemini work with the OpenAI-compatible URL?,0ae5c221b9
Is there a specific way to load the Gemini key from a .env file before creating the client?,0ae5c221b9
Which Gemini model name should I pass when calling the helper in the RAG notebook?,0ae5c221b9
Why does the notebook code need edits when using chat completions instead of the newer Responses API?,0ae5c221b9
