question,answer_llm,answer_orig,document
Can I still join the course if I only found it recently?,"Yes, you can still join the course if you just found it recently.

If you want a certificate, though, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is it too late to start the course now, or can I still participate?","Yes, you can still participate — you can start the course whenever you want. The videos and GitHub materials are available, and you can begin learning and submitting homework while the submission form is open.

If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join late, will I still be able to get a certificate?","Yes, but only if you finish with the live cohort and submit your project while submissions are still open. You also need to peer-review 3 other capstone projects to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I'm joining now?,"Yes — you can still qualify for the certificate if you join now, **as long as you submit your capstone project while submissions are still open**.

To get the certificate, you need to:
- **Pass the Capstone project**
- **Participate in peer review** by reviewing **3 peers’ capstone projects**

Homework is **not mandatory** for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Are project submissions still open for new students who just discovered the course?,"Yes — new students can still join, but if you want a certificate, you must submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for LLM Zoomcamp, but I still haven’t gotten any confirmation email — is something wrong?",You’re accepted — there’s no confirmation email you need to wait for. You can just start learning and submit homework while the form is open; registration is only used to gauge interest.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,"You don't need a registration confirmation to start the course or submit homework. You're accepted, and you can begin learning and submitting while the homework form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I didn’t register for LLM Zoomcamp, can I still follow along and turn in assignments?",I don't know.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there some accepted list for this course, or can anyone just begin learning while homework is open?",You can just start learning and submit homework while the form is open — there isn’t a checked accepted list for the course. Registration is only to gauge interest.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of the registration form if it doesn’t affect access to the course?,"Its main purpose is to gauge interest before the start date. It isn’t used to control access to the course, and you can still start learning and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Where do students join the Office Hours or live workshop sessions if the Zoom link isn't shared publicly?,"Students join via **YouTube Live**, and they can submit questions through **Slido**. The live video URL is also posted in the **announcements channel on Telegram and Slack** before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
